Period,Freq,C11,C22,C33,C44,C55,C66,C13,C15,C24,C26,C35,C46
7.05,0.891,1.10E-03,6.15E-03,4.58E+01,1.20E-03,8.93E-01,2.31E-04,-8.99E-03,5.74E-03,-2.71E-03,1.18E-03,6.21E+00,-5.19E-04
6.88,0.913,1.30E-03,7.30E-03,4.91E+01,1.42E-03,9.63E-01,2.76E-04,-1.01E-02,6.88E-03,-3.22E-03,1.40E-03,6.66E+00,-6.15E-04
6.71,0.937,1.55E-03,8.71E-03,5.28E+01,1.69E-03,1.04E+00,3.29E-04,-1.15E-02,8.28E-03,-3.83E-03,1.67E-03,7.15E+00,-7.34E-04
6.53,0.962,1.86E-03,1.04E-02,5.68E+01,2.02E-03,1.13E+00,3.95E-04,-1.30E-02,1.00E-02,-4.59E-03,2.00E-03,7.70E+00,-8.78E-04
6.36,0.987,2.23E-03,1.26E-02,6.12E+01,2.43E-03,1.22E+00,4.76E-04,-1.48E-02,1.22E-02,-5.52E-03,2.41E-03,8.30E+00,-1.06E-03
6.19,1.015,2.70E-03,1.52E-02,6.61E+01,2.94E-03,1.33E+00,5.78E-04,-1.68E-02,1.48E-02,-6.68E-03,2.92E-03,8.96E+00,-1.28E-03
6.02,1.044,3.28E-03,1.85E-02,7.15E+01,3.56E-03,1.46E+00,7.04E-04,-1.92E-02,1.82E-02,-8.12E-03,3.55E-03,9.69E+00,-1.55E-03
5.85,1.075,4.00E-03,2.27E-02,7.75E+01,4.35E-03,1.60E+00,8.64E-04,-2.19E-02,2.24E-02,-9.92E-03,4.35E-03,1.05E+01,-1.90E-03
5.68,1.107,4.92E-03,2.79E-02,8.42E+01,5.34E-03,1.75E+00,1.07E-03,-2.51E-02,2.77E-02,-1.22E-02,5.35E-03,1.14E+01,-2.33E-03
5.50,1.142,6.08E-03,3.46E-02,9.16E+01,6.59E-03,1.94E+00,1.32E-03,-2.88E-02,3.45E-02,-1.51E-02,6.63E-03,1.24E+01,-2.88E-03
5.33,1.178,7.56E-03,4.31E-02,9.99E+01,8.20E-03,2.15E+00,1.66E-03,-3.32E-02,4.33E-02,-1.88E-02,8.28E-03,1.35E+01,-3.59E-03
5.16,1.218,9.46E-03,5.41E-02,1.09E+02,1.03E-02,2.40E+00,2.09E-03,-3.83E-02,5.46E-02,-2.35E-02,1.04E-02,1.48E+01,-4.49E-03
4.99,1.260,1.19E-02,6.85E-02,1.20E+02,1.29E-02,2.69E+00,2.66E-03,-4.43E-02,6.94E-02,-2.97E-02,1.32E-02,1.62E+01,-5.67E-03
4.82,1.304,1.52E-02,8.74E-02,1.31E+02,1.64E-02,3.03E+00,3.41E-03,-5.13E-02,8.88E-02,-3.78E-02,1.68E-02,1.78E+01,-7.22E-03
4.64,1.353,1.94E-02,1.12E-01,1.45E+02,2.10E-02,3.45E+00,4.42E-03,-5.96E-02,1.15E-01,-4.85E-02,2.16E-02,1.96E+01,-9.26E-03
4.47,1.405,2.51E-02,1.46E-01,1.60E+02,2.72E-02,3.95E+00,5.78E-03,-6.93E-02,1.49E-01,-6.29E-02,2.81E-02,2.16E+01,-1.20E-02
4.30,1.461,3.27E-02,1.92E-01,1.77E+02,3.54E-02,4.57E+00,7.65E-03,-8.07E-02,1.95E-01,-8.22E-02,3.69E-02,2.39E+01,-1.56E-02
4.13,1.522,4.31E-02,2.54E-01,1.96E+02,4.66E-02,5.34E+00,1.03E-02,-9.41E-02,2.59E-01,-1.09E-01,4.90E-02,2.65E+01,-2.06E-02
3.96,1.588,5.73E-02,3.41E-01,2.18E+02,6.21E-02,6.31E+00,1.39E-02,-1.10E-01,3.46E-01,-1.45E-01,6.58E-02,2.95E+01,-2.75E-02
3.79,1.660,7.70E-02,4.63E-01,2.43E+02,8.35E-02,7.56E+00,1.92E-02,-1.27E-01,4.67E-01,-1.96E-01,8.95E-02,3.29E+01,-3.71E-02
3.61,1.739,1.05E-01,6.37E-01,2.72E+02,1.14E-01,9.19E+00,2.70E-02,-1.47E-01,6.39E-01,-2.68E-01,1.23E-01,3.68E+01,-5.06E-02
3.44,1.825,1.44E-01,8.89E-01,3.05E+02,1.57E-01,1.14E+01,3.86E-02,-1.70E-01,8.83E-01,-3.72E-01,1.73E-01,4.13E+01,-6.98E-02
3.27,1.921,2.01E-01,1.26E+00,3.43E+02,2.20E-01,1.43E+01,5.64E-02,-1.93E-01,1.24E+00,-5.24E-01,2.45E-01,4.65E+01,-9.78E-02
3.10,2.028,2.83E-01,1.82E+00,3.86E+02,3.12E-01,1.84E+01,8.45E-02,-2.15E-01,1.75E+00,-7.49E-01,3.55E-01,5.25E+01,-1.39E-01
2.93,2.147,4.05E-01,2.68E+00,4.37E+02,4.51E-01,2.42E+01,1.30E-01,-2.31E-01,2.51E+00,-1.09E+00,5.23E-01,5.94E+01,-2.00E-01
2.76,2.281,5.86E-01,4.01E+00,4.94E+02,6.61E-01,3.25E+01,2.07E-01,-2.34E-01,3.64E+00,-1.61E+00,7.88E-01,6.74E+01,-2.91E-01
2.58,2.432,8.58E-01,6.14E+00,5.61E+02,9.85E-01,4.45E+01,3.42E-01,-2.10E-01,5.35E+00,-2.43E+00,1.21E+00,7.67E+01,-4.29E-01
2.41,2.605,1.26E+00,9.60E+00,6.37E+02,1.49E+00,6.21E+01,5.90E-01,-1.32E-01,7.91E+00,-3.72E+00,1.91E+00,8.76E+01,-6.37E-01
2.24,2.805,1.87E+00,1.53E+01,7.25E+02,2.29E+00,8.80E+01,1.07E+00,4.49E-02,1.17E+01,-5.78E+00,3.08E+00,1.00E+02,-9.45E-01
