Period,Freq,Fx[N],Fx[deg],Fy[N],Fy[deg],Fz[N],Fz[deg],Mx[N],Mx[deg],My[N],My[deg],Mz[N],Mz[deg]
7.05,0.891,7.69E+01,-91.95,2.63E-02,157.58,1.11E+04,-0.86,5.49E-03,69.47,1.60E+03,-18.68,1.48E-01,3.11
6.88,0.913,8.08E+01,-91.97,3.70E-02,163.86,1.11E+04,-0.91,9.00E-03,36.52,1.60E+03,-19.59,1.47E-01,3.33
6.71,0.937,8.49E+01,-91.98,2.68E-02,155.26,1.11E+04,-0.97,9.50E-03,36.44,1.61E+03,-20.56,1.44E-01,3.52
6.53,0.962,8.93E+01,-92.00,2.51E-02,153.04,1.10E+04,-1.04,1.02E-02,35.88,1.62E+03,-21.60,1.47E-01,3.74
6.36,0.987,9.41E+01,-92.02,3.29E-02,158.41,1.10E+04,-1.11,1.01E-02,37.75,1.62E+03,-22.71,1.45E-01,3.67
6.19,1.015,9.92E+01,-92.03,2.99E-02,154.37,1.10E+04,-1.19,1.11E-02,36.60,1.63E+03,-23.91,1.45E-01,3.94
6.02,1.044,1.05E+02,-92.05,2.58E-02,148.25,1.09E+04,-1.28,1.18E-02,36.21,1.64E+03,-25.19,1.44E-01,4.35
5.85,1.075,1.11E+02,-92.07,3.34E-02,154.18,1.09E+04,-1.38,1.47E-02,29.98,1.66E+03,-26.56,1.45E-01,4.37
5.68,1.107,1.18E+02,-92.08,2.74E-02,146.22,1.09E+04,-1.49,1.16E-02,42.04,1.67E+03,-28.03,1.46E-01,4.88
5.50,1.142,1.25E+02,-92.10,3.51E-02,152.60,1.08E+04,-1.62,1.26E-02,41.08,1.69E+03,-29.61,1.44E-01,5.04
5.33,1.178,1.33E+02,-92.11,2.45E-02,135.36,1.08E+04,-1.76,1.35E-02,40.56,1.71E+03,-31.31,1.45E-01,5.16
5.16,1.218,1.41E+02,-92.13,3.74E-02,149.35,1.07E+04,-1.92,1.22E-02,49.61,1.73E+03,-33.12,1.42E-01,5.62
4.99,1.260,1.51E+02,-92.15,3.54E-02,146.17,1.07E+04,-2.10,1.04E-02,72.83,1.76E+03,-35.06,1.45E-01,5.68
4.82,1.304,1.61E+02,-92.17,3.51E-02,143.13,1.06E+04,-2.31,1.45E-02,47.13,1.79E+03,-37.14,1.42E-01,6.83
4.64,1.353,1.73E+02,-92.19,3.68E-02,140.81,1.05E+04,-2.55,1.31E-02,60.88,1.83E+03,-39.35,1.41E-01,6.29
4.47,1.405,1.85E+02,-92.21,3.40E-02,132.53,1.04E+04,-2.83,1.57E-02,51.68,1.87E+03,-41.70,1.40E-01,7.61
4.30,1.461,1.99E+02,-92.23,4.30E-02,142.10,1.03E+04,-3.15,1.86E-02,45.22,1.93E+03,-44.19,1.40E-01,8.11
4.13,1.522,2.15E+02,-92.26,4.00E-02,134.49,1.02E+04,-3.53,1.51E-02,73.13,1.99E+03,-46.81,1.38E-01,8.32
3.96,1.588,2.33E+02,-92.28,3.99E-02,128.75,1.01E+04,-3.98,1.81E-02,58.78,2.06E+03,-49.56,1.37E-01,9.38
3.79,1.660,2.52E+02,-92.32,4.36E-02,131.71,9.99E+03,-4.52,1.73E-02,74.16,2.15E+03,-52.43,1.37E-01,10.21
3.61,1.739,2.74E+02,-92.36,4.52E-02,124.85,9.84E+03,-5.15,1.99E-02,66.57,2.26E+03,-55.41,1.35E-01,10.90
