Period,Freq,Fx[N/m],Fx[deg],Fy[N/m],Fy[deg],Fz[N/m],Fz[deg],Mx[Nm/m],Mx[deg],My[Nm/m],My[deg],Mz[Nm/m],Mz[deg]
7.05,0.891,7.70E+01,91.95,2.63E-02,-157.96,1.11E+04,0.44,5.61E-03,-67.65,1.59E+03,18.30,1.48E-01,-3.54
6.88,0.913,8.08E+01,91.97,3.71E-02,-164.23,1.11E+04,0.45,9.16E-03,-36.05,1.60E+03,19.17,1.47E-01,-3.80
6.71,0.937,8.49E+01,91.99,2.68E-02,-155.86,1.11E+04,0.46,9.40E-03,-37.67,1.60E+03,20.11,1.44E-01,-4.05
6.53,0.962,8.93E+01,92.00,2.50E-02,-153.44,1.10E+04,0.47,1.02E-02,-36.34,1.61E+03,21.10,1.47E-01,-4.29
6.36,0.987,9.41E+01,92.02,3.27E-02,-158.87,1.10E+04,0.48,1.03E-02,-37.60,1.62E+03,22.17,1.45E-01,-4.30
6.19,1.015,9.93E+01,92.03,2.99E-02,-155.09,1.10E+04,0.49,1.10E-02,-37.54,1.63E+03,23.31,1.45E-01,-4.64
6.02,1.044,1.05E+02,92.05,2.55E-02,-148.56,1.09E+04,0.50,1.20E-02,-36.12,1.63E+03,24.54,1.44E-01,-5.13
5.85,1.075,1.11E+02,92.07,3.35E-02,-155.05,1.09E+04,0.51,1.49E-02,-30.20,1.65E+03,25.85,1.45E-01,-5.23
5.68,1.107,1.18E+02,92.08,2.72E-02,-147.04,1.09E+04,0.51,1.20E-02,-41.36,1.66E+03,27.25,1.47E-01,-5.83
5.50,1.142,1.25E+02,92.10,3.50E-02,-153.34,1.08E+04,0.51,1.28E-02,-41.44,1.67E+03,28.76,1.44E-01,-6.15
5.33,1.178,1.33E+02,92.11,2.40E-02,-135.88,1.08E+04,0.51,1.37E-02,-40.80,1.69E+03,30.37,1.45E-01,-6.40
5.16,1.218,1.41E+02,92.13,3.69E-02,-150.30,1.07E+04,0.51,1.25E-02,-49.93,1.71E+03,32.10,1.43E-01,-7.03
4.99,1.260,1.51E+02,92.15,3.50E-02,-147.20,1.07E+04,0.49,1.05E-02,-73.74,1.73E+03,33.94,1.46E-01,-7.23
4.82,1.304,1.61E+02,92.16,3.50E-02,-144.34,1.06E+04,0.47,1.45E-02,-48.68,1.76E+03,35.91,1.43E-01,-8.62
4.64,1.353,1.73E+02,92.18,3.61E-02,-142.14,1.05E+04,0.44,1.31E-02,-63.10,1.80E+03,38.02,1.41E-01,-8.39
4.47,1.405,1.86E+02,92.20,3.33E-02,-134.37,1.04E+04,0.40,1.57E-02,-53.37,1.83E+03,40.25,1.41E-01,-10.03
4.30,1.461,2.00E+02,92.22,4.26E-02,-143.58,1.03E+04,0.33,1.90E-02,-45.76,1.88E+03,42.62,1.42E-01,-10.86
4.13,1.522,2.15E+02,92.24,3.96E-02,-136.68,1.02E+04,0.25,1.54E-02,-72.87,1.93E+03,45.12,1.40E-01,-11.59
3.96,1.588,2.33E+02,92.25,3.82E-02,-129.58,1.01E+04,0.14,1.86E-02,-59.45,2.00E+03,47.75,1.39E-01,-13.13
3.79,1.660,2.53E+02,92.27,4.22E-02,-133.37,9.99E+03,-0.02,1.81E-02,-75.42,2.07E+03,50.50,1.40E-01,-14.55
3.61,1.739,2.75E+02,92.28,4.31E-02,-126.14,9.84E+03,-0.22,2.01E-02,-67.70,2.16E+03,53.35,1.38E-01,-16.01
3.44,1.825,2.99E+02,92.29,4.83E-02,-129.16,9.66E+03,-0.48,2.12E-02,-75.57,2.26E+03,56.29,1.38E-01,-17.11
3.27,1.921,3.27E+02,92.29,4.60E-02,-115.19,9.46E+03,-0.83,2.45E-02,-65.89,2.38E+03,59.29,1.35E-01,-18.77
3.10,2.028,3.57E+02,92.27,5.30E-02,-122.86,9.23E+03,-1.29,2.52E-02,-73.89,2.52E+03,62.33,1.34E-01,-22.25
2.93,2.147,3.92E+02,92.22,6.39E-02,-130.54,8.96E+03,-1.89,2.72E-02,-78.51,2.68E+03,65.36,1.33E-01,-24.81
2.76,2.281,4.29E+02,92.10,6.85E-02,-127.52,8.64E+03,-2.69,2.96E-02,-81.08,2.86E+03,68.32,1.30E-01,-27.44
2.58,2.432,4.69E+02,91.87,8.10E-02,-131.88,8.27E+03,-3.75,3.31E-02,-77.30,3.05E+03,71.16,1.27E-01,-31.11
2.41,2.605,5.11E+02,91.43,8.05E-02,-126.06,7.83E+03,-5.15,3.66E-02,-71.43,3.27E+03,73.76,1.25E-01,-37.52
2.24,2.805,5.52E+02,90.61,9.40E-02,-132.89,7.31E+03,-7.00,3.84E-02,-86.25,3.48E+03,75.96,1.21E-01,-42.89
2.07,3.038,5.87E+02,89.08,1.05E-01,-132.31,6.68E+03,-9.47,3.97E-02,-84.30,3.68E+03,77.50,1.10E-01,-48.41
1.90,3.314,6.09E+02,86.30,1.19E-01,-137.81,5.89E+03,-12.78,3.91E-02,-93.26,3.82E+03,77.94,1.02E-01,-58.70
